0.00232,0.00232,0.00153
0.00232,-0.00232,0.00153
-0.00232,-0.00232,0.00153
-0.00232,0.00232,0.00153
0.00181,0,0.00313
0,-0.00181,0.00313
-0.00181,0,0.00313
0,0.00181,0.00313
-0.023,-0.122,-0.08
-0.023,0.122,-0.08
-0.023,-0.122,0.08
-0.023,0.122,0.08
0.0245,0,-0.128
0.0985,0,0
0.0245,0,0.128
0.0985,0,0
-0.122,-0.023,-0.08
0.122,-0.023,0.08
-0.122,-0.023,0.08
0.122,-0.023,-0.08
0,0.0985,0
0,0.0245,0.128
0,0.0985,0
0,0.0245,-0.128
-0.0803,-0.0803,0.046
-0.0803,0.0803,0.046
0.0803,0.0803,0.046
0.0803,-0.0803,0.046
-0.128,0,-0.123
0,0.128,-0.123
0.128,0,-0.123
0,-0.128,-0.123
B1x,B1y,B1z
B2x,B2y,B2z
B3x,B3y,B3z
B4x,B4y,B4z
B5x,B5y,B5z
B6x,B6y,B6z
B7x,B7y,B7z
B8x,B8y,B8z
B1dx_x,B1dx_y,B1dx_z
B2dx_x,B2dx_y,B2dx_z
B3dx_x,B3dx_y,B3dx_z
B4dx_x,B4dx_y,B4dx_z
B5dx_x,B5dx_y,B5dx_z
B6dx_x,B6dx_y,B6dx_z
B7dx_x,B7dx_y,B7dx_z
B8dx_x,B8dx_y,B8dx_z
B1dy_x,B1dy_y,B1dy_z
B2dy_x,B2dy_y,B2dy_z
B3dy_x,B3dy_y,B3dy_z
B4dy_x,B4dy_y,B4dy_z
B5dy_x,B5dy_y,B5dy_z
B6dy_x,B6dy_y,B6dy_z
B7dy_x,B7dy_y,B7dy_z
B8dy_x,B8dy_y,B8dy_z
B1dz_x,B1dz_y,B1dz_z
B2dz_x,B2dz_y,B2dz_z
B3dz_x,B3dz_y,B3dz_z
B4dz_x,B4dz_y,B4dz_z
B5dz_x,B5dz_y,B5dz_z
B6dz_x,B6dz_y,B6dz_z
B7dz_x,B7dz_y,B7dz_z
B8dz_x,B8dz_y,B8dz_z
